make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Opel Corsa,Compact,8599,36444,66,Used,"Cloth, Black",1.398,BENZINE,7,1,14,2018.0,Black,5.0,5,Manual,5.2,6.8,120
Audi A1,Compact,26040,0,85,New,"Cloth, Black",0.999,BENZINE,15,3,13,2019.0,White,5.0,4,Automatic,4.8,5.9,110
Audi A3,Station wagon,19950,29900,85,Used,Black,1.598,DIESEL,14,5,13,2018.0,Blue,5.0,5,Manual,4.2,4.7,109
Audi A1,Sedans,20990,16974,70,Used,Other,0.999,BENZINE,19,1,69,2017.0,Black,4.0,4,Automatic,4.4,5.0,102
Opel Corsa,Compact,12950,19164,66,Used,"Cloth, Black",1.398,BENZINE,14,2,13,2018.0,Grey,5.0,5,Automatic,6.3,7.8,143
Opel Corsa,Compact,10979,10,51,Pre-registered,"Cloth, Black",1.229,BENZINE,5,1,12,2019.0,White,5.0,5,Manual,5.5,7.2,129
Audi A3,Sedans,15600,50700,81,Used,"Cloth, Black",1.598,DIESEL,16,4,18,2016.0,White,4.0,5,Manual,3.8,4.5,99
Renault Espace,Station wagon,23950,56000,118,Used,Grey,1.598,DIESEL,15,2,13,2016.0,Grey,5.0,7,Automatic,4.6,5.0,120
Audi A3,Sedans,26800,1,85,Pre-registered,Other,1.598,DIESEL,14,3,20,2019.0,White,4.0,5,Automatic,3.9,4.2,103
Renault Espace,Sedans,48498,3000,147,Demonstration,Full leather,1.997,DIESEL,24,2,19,2019.0,Black,4.0,5,Automatic,5.3,6.2,139
Audi A1,Compact,25490,2500,85,Used,"Cloth, Black",0.999,BENZINE,13,1,12,2019.0,Grey,5.0,4,Automatic,4.8,5.9,110
Opel Insignia,Station wagon,30800,11300,191,Used,Other,1.998,BENZINE,19,1,69,2019.0,Red,5.0,5,Automatic,8.0,11.0,197
Audi A1,Sedans,16321,22212,66,Used,"Cloth, Black",1.422,DIESEL,17,4,14,2018.0,Red,4.0,5,Manual,3.9,4.5,102
Opel Astra,Compact,15974,0,81,New,Other,1.598,DIESEL,19,1,69,2019.0,White,5.0,5,Manual,3.0,4.0,95
Audi A3,Sedans,17389,61109,81,Used,"Cloth, Black",1.598,DIESEL,15,2,13,2016.0,Black,4.0,5,Automatic,3.8,4.5,101
Renault Clio,Station wagon,8490,49178,54,Used,"Cloth, Grey",1.149,BENZINE,9,3,7,2016.0,White,5.0,5,Manual,5.4,6.8,126
Renault Clio,Sedans,22300,5000,147,Used,Other,1.618,BENZINE,19,6,18,2018.0,White,4.0,5,Automatic,5.9,7.6,133
Audi A1,Sedans,22900,5050,141,Used,"Cloth, Black",1.798,BENZINE,14,3,12,2018.0,Red,4.0,5,Automatic,5.6,7.1,129
Renault Clio,Sedans,9999,3000,54,Used,Other,1.149,BENZINE,5,1,10,2018.0,Blue,4.0,5,Manual,5.6,7.2,127
Audi A3,Sedans,24900,10,85,Pre-registered,"Cloth, Black",1.598,DIESEL,5,1,10,2019.0,White,4.0,5,Automatic,3.9,4.1,103
Audi A1,Compact,22400,31642,71,Used,Part leather,0.999,BENZINE,11,4,13,2018.0,White,5.0,4,Automatic,4.4,5.4,103
Audi A1,Sedans,15090,63668,85,Used,"Part leather, Black",1.598,DIESEL,17,4,14,2016.0,White,4.0,5,Automatic,3.5,4.3,92
Opel Astra,Station wagon,28590,5,110,New,"Cloth, Black",1.399,BENZINE,19,4,18,2019.0,Silver,5.0,5,Automatic,6.0,7.5,138
Renault Clio,Sedans,9000,63000,55,Used,"Part leather, Black",1.461,DIESEL,8,2,9,2017.0,Grey,4.0,5,Manual,3.3,3.5,85
Renault Clio,Sedans,10200,13665,66,Used,"Cloth, Black",0.898,BENZINE,11,1,16,2018.0,Black,4.0,5,Manual,4.7,5.7,105
Opel Insignia,Station wagon,12500,89500,100,Used,Other,1.598,DIESEL,16,4,14,2016.0,Silver,5.0,5,Manual,3.9,4.6,109
Opel Astra,Station wagon,18980,13980,110,Used,Cloth,1.399,BENZINE,19,4,14,2018.0,Black,5.0,5,Automatic,5.1,6.3,121
Renault Clio,Station wagon,10450,24500,66,Employee's car,Cloth,1.461,DIESEL,8,1,10,2018.0,Grey,5.0,5,Manual,3.3,3.7,85
Opel Insignia,Sedans,39690,111,121,Demonstration,Cloth,1.49,BENZINE,12,1,11,2019.0,Blue,4.0,5,Automatic,6.0,7.6,135
Opel Corsa,Sedans,7179,87429,51,Used,Other,1.229,BENZINE,5,2,11,2016.0,Black,4.0,5,Manual,5.3,6.6,124
Opel Corsa,Compact,7800,57500,66,Used,"Cloth, Black",1.398,BENZINE,8,2,13,2016.0,Grey,5.0,5,Manual,5.2,6.8,120
Audi A3,Sedans,18499,29500,81,Used,Other,1.598,DIESEL,12,1,7,2017.0,Grey,4.0,5,Manual,3.8,4.3,99
Opel Astra,Sedans,14850,24826,77,Used,"Cloth, Black",0.999,BENZINE,12,1,10,2017.0,Grey,4.0,5,Automatic,6.5,5.7,104
Opel Insignia,Station wagon,14500,88617,51,Used,"Part leather, Other",1.956,DIESEL,12,3,11,2016.0,White,5.0,5,Automatic,6.2,8.5,161
Renault Espace,Station wagon,21490,38156,96,Used,"Cloth, Brown",1.598,DIESEL,15,3,11,2016.0,Black,5.0,5,Manual,4.4,5.1,116
Renault Clio,Sedans,8800,110733,55,Used,Grey,1.461,DIESEL,19,1,69,2017.0,Grey,4.0,5,Manual,3.3,3.5,85
Audi A1,Sedans,17880,33306,70,Used,"alcantara, Black",0.999,BENZINE,17,4,13,2017.0,White,4.0,4,Automatic,4.4,5.4,102
Opel Insignia,Station wagon,22950,62295,125,Used,"Cloth, Black",1.956,DIESEL,21,5,20,2018.0,Silver,5.0,5,Automatic,5.7,7.5,150
Audi A3,Compact,38495,7,110,New,"Part leather, Black",1.499,BENZINE,14,4,12,2019.0,Silver,5.0,5,Semi-automatic,4.5,5.5,117
Audi A3,Sedans,15750,87330,81,Used,"Cloth, Black",1.598,DIESEL,15,3,13,2016.0,White,4.0,5,Manual,4.0,4.7,106
Opel Corsa,Compact,14790,1000,66,Used,"Cloth, Black",1.398,BENZINE,13,2,12,2019.0,Silver,5.0,5,Automatic,6.0,7.8,140
Opel Insignia,Station wagon,15990,81920,100,Used,Other,1.956,DIESEL,12,1,10,2017.0,Grey,5.0,5,Automatic,5.1,6.5,117
Opel Corsa,Compact,8580,17900,51,Used,"Cloth, Black",1.229,BENZINE,11,1,14,2017.0,Blue,5.0,5,Manual,5.3,6.6,126
Audi A3,Sedans,17800,39000,81,Used,"Cloth, Black",1.598,DIESEL,15,3,17,2016.0,White,4.0,5,Automatic,3.8,4.3,99
Opel Astra,Sedans,18190,5,77,New,Cloth,0.999,BENZINE,18,2,13,2019.0,Blue,4.0,5,Manual,4.5,5.7,104
Opel Astra,Sedans,26990,12,110,New,"Cloth, Black",1.399,BENZINE,20,4,19,2019.0,Grey,4.0,5,Automatic,5.6,7.3,129
Opel Corsa,Compact,9800,19400,66,Used,Other,1.398,BENZINE,19,1,69,2018.0,White,5.0,5,Manual,5.2,6.9,120
Opel Corsa,Sedans,7750,129617,55,Used,Grey,1.4003906,DIESEL,19,1,69,2016.0,White,4.0,5,Manual,4.7,5.8,117
Opel Corsa,Sedans,17990,0,66,New,"Cloth, Black",1.398,BENZINE,19,1,2,2019.0,Grey,4.0,5,Automatic,6.2,7.9,143
Audi A1,Compact,18333,4800,70,Employee's car,"Cloth, Grey",0.999,BENZINE,11,3,13,2018.0,Black,5.0,4,Automatic,4.4,5.4,102
Opel Astra,Sedans,16900,6227,77,Used,"Cloth, Black",0.999,BENZINE,14,1,12,2018.0,Red,4.0,5,Automatic,4.5,5.7,104
Renault Espace,Van,31360,10,118,Pre-registered,Cloth,1.997,DIESEL,13,2,12,2019.0,White,5.0,5,Automatic,5.6,6.1,147
Opel Astra,Sedans,17570,4581,77,Demonstration,Cloth,0.999,BENZINE,11,2,14,2019.0,Red,4.0,5,Manual,4.5,5.7,104
Opel Corsa,Sedans,13470,11364,66,Used,"Other, Other",1.398,BENZINE,13,2,15,2018.0,Blue,4.0,5,Automatic,5.0,6.3,119
Opel Insignia,Station wagon,20500,25494,51,Used,Black,1.956,DIESEL,12,2,8,2017.0,Grey,5.0,5,Automatic,5.7,4.6,150
Opel Insignia,Sedans,17990,13200,100,Used,Black,1.598,DIESEL,15,1,17,2017.0,Blue,4.0,5,Manual,4.3,5.1,114
Opel Insignia,Sedans,29900,66,122,Used,"Full leather, Black",1.49,BENZINE,26,4,24,2019.0,Blue,4.0,5,Automatic,6.0,7.6,138
Audi A1,Sedans,25700,10,85,Pre-registered,"Cloth, Black",0.999,BENZINE,8,2,11,2019.0,Black,4.0,4,Automatic,4.8,5.8,108
Audi A3,Sedans,23700,10000,110,Used,"Cloth, Black",1.968,DIESEL,21,7,22,2018.0,Black,4.0,5,Semi-automatic,4.4,5.2,114
Opel Astra,Station wagon,17690,28774,100,Used,Black,1.598,DIESEL,19,4,19,2018.0,Brown,5.0,5,Automatic,4.5,5.7,119
Opel Insignia,Station wagon,38229,2500,147,Demonstration,"Full leather, Black",1.598,BENZINE,26,4,21,2019.0,Black,5.0,5,Automatic,6.7,8.6,154
Audi A3,Sedans,18200,104000,81,Used,"Cloth, Black",1.598,DIESEL,14,6,21,2016.0,Grey,4.0,5,Automatic,3.8,4.3,99
Audi A1,Sedans,20550,5193,85,Used,Other,1.598,DIESEL,5,1,10,2018.0,Grey,4.0,5,Automatic,3.9,4.3,107
Opel Insignia,Station wagon,20979,28827,121,Used,"Part leather, Black",1.49,BENZINE,23,5,19,2018.0,Green,5.0,5,Manual,6.1,7.5,139
Audi A3,Station wagon,19100,40700,85,Used,Other,0.999,BENZINE,13,2,13,2017.0,Grey,5.0,5,Automatic,4.5,5.4,104
Opel Corsa,Sedans,9200,23300,66,Used,Other,1.398,BENZINE,6,2,10,2017.0,Grey,4.0,5,Automatic,6.0,7.8,139
Opel Astra,Sedans,16990,5,66,Pre-registered,"Cloth, Black",0.999,BENZINE,3,1,12,2019.0,Blue,4.0,5,Manual,4.7,5.4,107
Opel Insignia,Sedans,19990,9826,103,Used,Other,1.49,BENZINE,14,2,14,2018.0,Silver,4.0,5,Manual,5.7,7.3,129
Renault Espace,Off-Road,17500,141000,118,Used,Other,1.598,DIESEL,1,1,7,2016.0,White,5.0,5,Automatic,4.6,5.0,120
Opel Insignia,Sedans,26125,0,121,New,"Cloth, Other",1.49,BENZINE,15,3,16,2019.0,Grey,4.0,5,Automatic,5.9,7.6,135
Audi A3,Sedans,26090,10000,85,Used,"Velour, Grey",1.598,DIESEL,3,1,69,2019.0,Grey,4.0,5,Automatic,3.9,4.4,99
Opel Astra,Sedans,26490,1500,112,Used,Other,1.399,BENZINE,6,1,7,2019.0,Black,4.0,5,Automatic,5.4,7.1,124
Renault Espace,Van,31360,10,118,Pre-registered,Cloth,1.997,DIESEL,13,2,12,2019.0,White,5.0,5,Automatic,5.6,6.1,147
Opel Corsa,Sedans,9800,14803,51,Used,"Cloth, Black",1.398,BENZINE,4,1,69,2018.0,Grey,4.0,5,Manual,5.6,7.3,129
Opel Insignia,Station wagon,21000,25494,51,Used,Black,1.956,DIESEL,12,2,8,2017.0,Grey,5.0,5,Automatic,5.7,4.6,150
Opel Astra,Station wagon,10500,68644,81,Used,Other,1.598,DIESEL,11,2,13,2016.0,Black,5.0,5,Manual,3.7,4.0,95
Opel Corsa,Compact,14450,4900,66,Used,"Cloth, Black",1.398,BENZINE,18,2,13,2019.0,Blue,5.0,5,Automatic,6.6,8.2,150
Audi A1,Compact,18900,31877,51,Used,Black,0.999,BENZINE,11,2,12,2018.0,White,5.0,5,Automatic,4.5,5.4,103
Audi A1,Compact,22990,50,70,Pre-registered,"Cloth, Black",0.999,BENZINE,11,1,9,2019.0,White,5.0,5,Manual,4.6,5.8,105
Audi A3,Sedans,18900,119900,81,Used,Other,1.395,CNG,3,2,12,2016.0,Blue,4.0,5,Semi-automatic,4.4,5.2,94
Audi A1,Compact,22350,0,70,New,"Cloth, Black",0.999,BENZINE,12,5,15,2019.0,White,5.0,5,Manual,4.6,5.8,104
Opel Astra,Station wagon,10690,70629,81,Used,Other,1.598,DIESEL,4,1,1,2016.0,Grey,5.0,5,Manual,3.6,4.0,94
Renault Clio,Sedans,10985,15,55,Pre-registered,"Cloth, Black",0.898,BENZINE,8,2,13,2019.0,White,4.0,5,Manual,5.0,6.3,113
Opel Insignia,Station wagon,33990,8,100,Demonstration,Full leather,1.0,DIESEL,14,4,14,2019.0,Grey,5.0,5,Manual,5.0,7.8,117
Opel Insignia,Station wagon,22880,29965,121,Used,"Part leather, Black",1.49,BENZINE,23,4,18,2018.0,Black,5.0,5,Automatic,6.2,7.7,141
Audi A3,Sedans,21990,26382,110,Used,"Part leather, Other",1.395,BENZINE,10,4,14,2017.0,Grey,4.0,5,Automatic,5.0,6.1,111
Opel Insignia,Station wagon,22900,14875,100,Employee's car,Other,1.598,DIESEL,4,2,7,2018.0,Black,5.0,5,Automatic,5.2,6.8,137
Opel Corsa,Compact,14710,13333,66,Used,"Cloth, Black",1.398,BENZINE,17,3,15,2018.0,Blue,5.0,5,Automatic,5.9,7.9,137
Opel Corsa,Sedans,14595,50,66,Pre-registered,"Cloth, Black",1.398,BENZINE,10,1,11,2019.0,Blue,4.0,5,Automatic,6.6,8.2,149
Opel Astra,Sedans,18380,1,110,New,Cloth,1.398,BENZINE,9,3,8,2019.0,White,4.0,5,Manual,5.6,7.0,127
Audi A3,Sedans,20900,18800,85,Used,"Cloth, Grey",1.598,DIESEL,4,1,13,2018.0,White,4.0,5,Manual,4.0,4.5,106
Opel Astra,Station wagon,17850,23300,110,Used,"Cloth, Black",1.399,BENZINE,18,5,13,2018.0,Grey,5.0,5,Automatic,5.6,7.3,128
Renault Espace,Van,29200,26059,118,Used,Other,1.598,DIESEL,6,1,3,2017.0,Black,5.0,5,Automatic,4.7,5.1,120
Renault Clio,Sedans,12800,34732,66,Used,"Part leather, Grey",1.461,DIESEL,5,1,10,2017.0,White,4.0,5,Automatic,3.5,3.9,92
Renault Espace,Van,56950,11,146,New,Part leather,1.997,DIESEL,26,2,14,2019.0,Black,5.0,5,Semi-automatic,5.4,6.3,139
Audi A1,Compact,21290,1,85,New,Velour,0.999,BENZINE,6,2,9,2019.0,Green,5.0,5,Automatic,4.8,5.9,110
Renault Clio,Sedans,7990,2880,53,Used,Other,1.461,LPG,7,6,5,2017.0,Beige,4.0,5,Manual,6.0,7.5,117
Audi A1,Sedans,27900,0,85,Employee's car,"Cloth, Black",0.999,BENZINE,16,4,21,2019.0,Red,4.0,5,Automatic,4.8,5.8,108
Opel Insignia,Station wagon,17489,95990,121,Used,Cloth,1.49,BENZINE,15,1,21,2017.0,White,5.0,5,Automatic,6.2,7.7,141
Renault Espace,Van,25490,49606,147,Used,"Cloth, Black",1.618,BENZINE,21,2,16,2017.0,Grey,5.0,7,Automatic,6.8,8.7,153
Audi A3,Sedans,20900,20717,85,Used,Other,1.598,DIESEL,4,1,9,2018.0,Grey,4.0,5,Manual,4.0,4.5,106
Audi A1,Sedans,18900,12415,85,Used,Other,1.598,DIESEL,3,1,13,2018.0,Black,4.0,5,Automatic,4.0,4.6,105
Audi A3,Sedans,22990,25444,85,Used,"Part leather, Black",1.598,DIESEL,11,2,10,2018.0,Grey,4.0,5,Automatic,4.0,4.2,105
Opel Insignia,Sedans,31904,0,125,New,Other,1.956,DIESEL,19,1,69,2019.0,Grey,4.0,5,Manual,5.0,6.0,150
Audi A3,Sedans,18500,158300,135,Used,"Full leather, Black",1.968,DIESEL,12,4,13,2016.0,Grey,4.0,5,Automatic,4.9,5.6,128
Renault Duster,Off-Road,12250,0,77,New,Other,1.598,BENZINE,2,1,4,2019.0,White,5.0,5,Manual,10.0,10.0,186
Audi A3,Sedans,16500,122584,81,Used,Grey,1.598,DIESEL,11,2,9,2016.0,Grey,4.0,5,Automatic,3.8,3.5,99
Renault Clio,Compact,10390,1,55,Pre-registered,Other,0.898,BENZINE,3,1,9,2019.0,Grey,5.0,5,Manual,5.0,6.3,113
Audi A1,Compact,16830,50200,92,Used,"Cloth, Black",1.395,BENZINE,16,5,14,2016.0,White,5.0,4,Automatic,4.9,6.2,112
Opel Insignia,Station wagon,35585,0,154,New,"Part leather, Other",1.956,DIESEL,17,4,9,2019.0,Grey,5.0,5,Automatic,7.1,9.4,188
Audi A1,Sedans,10800,99000,66,Used,"Cloth, Black",1.422,DIESEL,17,3,17,2016.0,Black,4.0,4,Manual,3.7,4.2,97
Renault Duster,Off-Road,12250,101,77,Used,"Cloth, Grey",1.598,BENZINE,2,1,4,2019.0,White,5.0,5,Manual,10.0,10.0,186
Audi A1,Compact,21990,0,70,New,"Cloth, Black",0.999,BENZINE,12,2,12,2019.0,Black,5.0,5,Manual,4.6,5.8,104
Renault Espace,Transporter,19000,85000,118,Used,Part leather,1.598,DIESEL,23,4,16,2016.0,Grey,5.0,7,Semi-automatic,4.7,5.1,120
Audi A3,Sedans,18990,52000,81,Used,"Cloth, Grey",1.598,DIESEL,16,1,18,2017.0,Grey,4.0,5,Manual,4.0,4.7,107
Audi A3,Sedans,23200,1,85,Pre-registered,"Cloth, Black",1.598,DIESEL,6,1,13,2019.0,Black,4.0,5,Manual,4.4,5.0,114
Renault Clio,Sedans,9850,0,55,New,Other,0.9,BENZINE,3,1,10,2019.0,Silver,4.0,5,Manual,5.5,7.0,127
Audi A1,Sedans,22900,10,85,Used,Other,0.999,BENZINE,5,1,7,2019.0,Grey,4.0,5,Manual,4.9,5.9,111
Opel Insignia,Station wagon,24900,0,103,New,"Cloth, Other",1.49,BENZINE,13,3,16,2019.0,Black,5.0,5,Manual,5.6,7.1,128
Audi A3,Sedans,22500,20979,85,Used,Other,1.598,DIESEL,2,1,5,2018.0,White,4.0,5,Automatic,3.9,4.2,103
Opel Astra,Station wagon,28489,4999,100,Demonstration,"Cloth, Black",1.598,DIESEL,22,2,19,2019.0,Grey,5.0,5,Automatic,6.3,8.5,144
Audi A1,Sedans,13900,20000,60,Used,Other,0.999,BENZINE,10,1,14,2017.0,Black,4.0,4,Manual,4.2,5.0,97
Audi A3,Sedans,20500,1,85,Employee's car,Black,1.598,DIESEL,6,1,11,2018.0,Black,4.0,5,Manual,4.4,5.0,114
Opel Insignia,Station wagon,29350,10,147,New,"Part leather, Black",1.6,BENZINE,21,6,19,2019.0,White,5.0,5,Automatic,6.4,8.2,147
Audi A3,Sedans,17445,23000,85,Employee's car,"Cloth, Grey",1.598,DIESEL,12,3,22,2017.0,Grey,4.0,5,Manual,4.0,4.5,106
Opel Insignia,Station wagon,17480,63000,125,Used,"Full leather, Black",1.956,DIESEL,22,5,20,2016.0,Black,5.0,5,Automatic,5.5,7.7,145
Audi A3,Sedans,21800,14160,85,Used,"alcantara, Black",1.598,DIESEL,21,4,18,2018.0,Grey,4.0,5,Manual,4.1,4.6,108
Audi A3,Station wagon,21900,27000,85,Used,Other,0.999,BENZINE,18,5,20,2017.0,Grey,5.0,5,Automatic,4.7,5.6,107
Opel Insignia,Station wagon,20890,16643,125,Used,Black,1.956,DIESEL,17,4,16,2018.0,Silver,5.0,5,Manual,5.7,7.8,150
Audi A3,Sedans,26000,10,85,Pre-registered,"Cloth, Black",0.999,BENZINE,14,4,14,2019.0,Black,4.0,5,Automatic,5.1,5.8,117
Opel Astra,Sedans,11700,54011,81,Used,Other,1.6,DIESEL,4,1,8,2017.0,White,4.0,5,Manual,3.7,4.2,97
Opel Insignia,Sedans,14700,70000,100,Used,"Cloth, Black",1.598,DIESEL,15,2,12,2017.0,Silver,4.0,5,Manual,4.3,5.1,118
Opel Insignia,Sedans,19940,25133,121,Used,"Part leather, Black",1.49,BENZINE,20,3,19,2018.0,Silver,4.0,5,Manual,5.7,7.3,130
Opel Insignia,Other,17925,33042,74,Used,Other,1.598,DIESEL,19,1,69,2017.0,Blue,4.0,5,Manual,4.3,5.1,114
Audi A3,Sedans,24900,35,85,Pre-registered,"Cloth, Grey",1.598,DIESEL,14,3,15,2019.0,Grey,4.0,5,Automatic,3.9,4.1,103
Opel Astra,Sedans,30990,10,147,Used,Full leather,1.598,BENZINE,23,3,20,2019.0,Grey,4.0,5,Automatic,6.4,8.3,146
Audi A1,Sedans,15490,42979,70,Used,"Cloth, Black",0.999,BENZINE,11,1,12,2016.0,White,4.0,4,Automatic,4.4,5.2,104
Opel Corsa,Sedans,7490,22601,51,Used,Cloth,1.229,BENZINE,3,1,12,2016.0,White,4.0,5,Manual,6.3,6.7,142
Renault Clio,Sedans,15998,13274,87,Used,Cloth,1.197,BENZINE,14,2,14,2018.0,Red,4.0,5,Automatic,5.3,6.8,126
Opel Astra,Sedans,23490,1500,110,Demonstration,"Cloth, Black",1.399,BENZINE,20,3,15,2019.0,Grey,4.0,5,Automatic,5.9,7.4,134
Audi A1,Sedans,17173,0,70,New,Other,0.999,BENZINE,7,1,14,2019.0,White,4.0,4,Manual,4.6,5.8,104
Audi A3,Sedans,13900,109500,110,Used,Cloth,1.968,DIESEL,9,3,13,2016.0,White,4.0,5,Manual,4.2,5.0,106
Opel Corsa,Compact,6999,87100,55,Used,"Cloth, Black",1.248,DIESEL,6,1,11,2016.0,White,5.0,5,Manual,3.9,4.7,101
Opel Corsa,Sedans,8900,44000,66,Used,Other,1.398,BENZINE,19,1,69,2017.0,Black,4.0,5,Manual,4.7,5.8,110
Renault Espace,Station wagon,19950,66000,118,Used,Grey,1.598,DIESEL,12,2,11,2016.0,Black,5.0,5,Automatic,4.6,5.0,120
Renault Clio,Station wagon,15995,33486,88,Used,"Cloth, Black",1.197,BENZINE,15,2,11,2016.0,Grey,5.0,5,Automatic,5.2,6.6,120
Opel Corsa,Sedans,7898,8900,51,Used,Cloth,1.229,BENZINE,4,1,10,2016.0,White,4.0,5,Manual,5.4,6.7,128
Opel Corsa,Compact,10490,5,51,Pre-registered,"Cloth, Black",1.229,BENZINE,5,2,12,2019.0,Grey,5.0,5,Manual,5.5,7.2,129
Opel Astra,Sedans,10900,70000,70,Used,Cloth,1.598,DIESEL,6,1,10,2016.0,Black,4.0,5,Manual,3.6,4.2,95
Opel Astra,Sedans,18480,28998,110,Employee's car,"Cloth, Black",1.399,BENZINE,19,4,15,2018.0,Black,4.0,5,Automatic,4.9,6.2,116
Opel Corsa,Compact,16691,51,66,Pre-registered,"Cloth, Black",1.398,BENZINE,19,2,15,2019.0,Grey,5.0,5,Automatic,6.9,8.6,157
Opel Corsa,Sedans,7800,1800,51,Used,"Cloth, Grey",1.229,BENZINE,3,1,11,2016.0,White,4.0,5,Manual,5.6,7.2,129
Audi A1,Sedans,13250,65000,70,Used,"Cloth, Black",0.999,BENZINE,13,2,13,2016.0,White,4.0,4,Automatic,4.4,5.2,102
Audi A1,Sedans,16900,19800,85,Used,"Other, Grey",1.598,DIESEL,4,1,8,2018.0,Black,4.0,4,Manual,4.0,5.0,99
Audi A1,Sedans,14390,18455,85,Used,"Cloth, Grey",1.598,DIESEL,6,1,13,2017.0,Black,4.0,5,Manual,3.7,4.3,97
Audi A1,Compact,28380,0,110,New,"Cloth, Grey",1.498,BENZINE,18,4,16,2019.0,White,5.0,5,Automatic,5.1,6.5,115
Audi A3,Sedans,14850,48000,81,Used,Other,1.598,DIESEL,9,2,15,2016.0,White,4.0,5,Manual,3.8,4.5,99
Audi A1,Compact,16499,29443,70,Used,Other,0.999,BENZINE,19,1,69,2018.0,White,5.0,5,Manual,4.0,5.0,102
Audi A1,Sedans,13450,24768,66,Used,"Cloth, Grey",1.422,DIESEL,11,1,13,2016.0,Black,4.0,4,Manual,3.8,4.4,99
Audi A1,Sedans,15790,22900,66,Used,"Cloth, Black",1.422,DIESEL,17,2,15,2018.0,White,4.0,4,Manual,3.4,3.9,91
Opel Insignia,Compact,36200,3768,147,Demonstration,Full leather,1.598,BENZINE,14,4,15,2019.0,White,5.0,5,Manual,6.4,8.1,147
Audi A3,Sedans,15699,108000,85,Used,Black,1.598,DIESEL,17,7,18,2017.0,White,4.0,5,Manual,4.1,4.7,108
Audi A3,Sedans,19440,34194,85,Used,"Cloth, Black",1.598,DIESEL,17,2,13,2018.0,Grey,4.0,5,Manual,4.1,4.7,109
Opel Corsa,Compact,13999,13875,66,Used,"Cloth, Black",1.398,BENZINE,16,4,14,2018.0,Blue,5.0,5,Automatic,5.9,7.9,137
Opel Insignia,Sedans,18900,23584,100,Used,"Cloth, Black",1.598,DIESEL,19,3,14,2017.0,Black,4.0,5,Automatic,5.1,6.1,134
Renault Espace,Van,48765,11,165,New,Part leather,1.798,BENZINE,16,2,13,2019.0,White,5.0,5,Automatic,7.4,9.2,153
Opel Insignia,Sedans,14800,33500,103,Used,"Cloth, Black",1.364,BENZINE,13,1,14,2016.0,Red,4.0,5,Manual,5.6,7.5,129
Opel Insignia,Sedans,16800,23401,103,Employee's car,"Cloth, Black",1.49,BENZINE,15,3,19,2018.0,Blue,4.0,5,Manual,5.7,7.3,130
Opel Corsa,Sedans,7550,38500,51,Used,Other,1.229,BENZINE,3,3,13,2016.0,White,4.0,5,Manual,5.6,7.2,129
Opel Insignia,Sedans,22950,21000,121,Used,"Cloth, Black",1.49,BENZINE,21,5,20,2018.0,Black,4.0,5,Automatic,6.1,7.5,138
Renault Clio,Sedans,8700,131494,55,Used,Grey,1.4003906,DIESEL,19,1,69,2017.0,Grey,4.0,5,Manual,3.3,3.5,117
Renault Clio,Transporter,7800,25100,55,Used,Cloth,1.5,DIESEL,4,1,9,2017.0,White,5.0,2,Manual,3.3,3.5,85
Opel Astra,Station wagon,15950,17457,100,Used,"Cloth, Black",1.598,DIESEL,17,4,15,2017.0,Silver,5.0,5,Automatic,3.5,4.0,92
Opel Corsa,Sedans,16480,4900,66,Used,"Cloth, Black",1.398,BENZINE,17,2,13,2019.0,Red,4.0,5,Automatic,6.4,8.1,149
Opel Astra,Sedans,15899,10,77,New,Cloth,0.999,BENZINE,5,1,11,2019.0,Blue,4.0,5,Manual,4.7,5.5,107
Opel Insignia,Station wagon,23940,16048,121,Used,Cloth,1.49,BENZINE,17,2,18,2018.0,Black,5.0,5,Automatic,6.1,7.5,145
Opel Insignia,Station wagon,33700,10,51,New,Black,1.956,DIESEL,20,2,14,2019.0,White,5.0,5,Automatic,5.3,6.9,139
Opel Insignia,Station wagon,33500,0,100,New,"Part leather, Grey",1.598,DIESEL,11,1,11,2019.0,Grey,5.0,5,Automatic,5.2,6.8,137
Opel Insignia,Station wagon,21900,22000,100,Used,"Part leather, Black",1.598,DIESEL,18,2,16,2018.0,Grey,5.0,5,Automatic,5.2,6.8,137
Opel Corsa,Sedans,11240,0,66,New,"Cloth, Other",0.999,BENZINE,4,1,11,2019.0,White,4.0,5,Manual,4.7,5.6,109
Opel Corsa,Sedans,8350,317000,66,Used,Other,1.398,BENZINE,3,1,11,2017.0,Red,4.0,5,Manual,6.0,7.4,136
Opel Insignia,Station wagon,36990,70,100,Demonstration,"Part leather, Black",1.0,DIESEL,14,1,14,2019.0,White,5.0,5,Automatic,5.0,7.8,117
Renault Espace,Van,35500,10,118,Pre-registered,Other,1.598,DIESEL,8,1,11,2019.0,Grey,5.0,7,Automatic,4.7,5.1,123
Opel Insignia,Sedans,12900,109000,125,Used,Other,1.956,DIESEL,10,1,12,2017.0,Grey,4.0,5,Automatic,5.6,8.6,147
Audi A1,Sedans,26890,12,85,Used,Other,0.999,BENZINE,18,5,22,2019.0,White,4.0,5,Automatic,4.8,5.9,110
Renault Clio,Sedans,11400,63000,87,Used,"Cloth, Black",1.197,BENZINE,18,6,16,2016.0,Blue,4.0,5,Automatic,5.2,6.6,123
